Repository Name
kubernetes/kubernetes
go-micro/go-micro
go-kit/kit
zeromicro/go-zero
seata/seata
DovAmir/awesome-design-patterns
traefik/traefik
GoogleCloudPlatform/microservices-demo
mfornos/awesome-microservices
stacksimplify/aws-eks-kubernetes-masterclass
zlt2000/microservices-platform
in28minutes/spring-microservices
istio/istio
in28minutes/devops-master-class
aspnetrun/run-aspnetcore-microservices
Netflix/conductor
go-kratos/kratos
backstage/backstage
vercel/micro
argoproj/argocd-example-apps
alibaba/spring-cloud-alibaba
spring-petclinic/spring-petclinic-microservices
rohitghatol/spring-boot-microservices
piomin/sample-spring-microservices-new
InterviewReady/system-design-resources
mjebrahimi/Awesome-Microservices-DotNet
piomin/sample-spring-microservices
apolloconfig/apollo
in28minutes/spring-microservices-v2
freeCodeCamp/boilerplate-project-timestamp
chanakaudaya/solution-architecture-patterns
lagom/lagom
rootusercop/Free-DevOps-Books-1
helidon-io/helidon
in28minutes/spring-boot-examples
nameko/nameko
Netflix/zuul
dotnet/tye
oatpp/oatpp
sivaprasadreddy/spring-boot-microservices-series
crizstian/cinema-microservice
redhat-scholars/istio-tutorial
cer/event-sourcing-examples
paulc4/microservices-demo
dotnet-architecture/eShopOnDapr
freeCodeCamp/boilerplate-express
microservices-demo/front-end
cer/microservices-examples
kennyk65/Microservices-With-Spring-Student-Files
goadesign/goa
moleculerjs/moleculer
microservices-demo/microservices-demo
line/armeria
micronaut-projects/micronaut-core
ExpressGateway/express-gateway
dariubs/GoBooks
grpc-ecosystem/awesome-grpc
livelessons-spring/building-microservices
apache/servicecomb-java-chassis
instana/robot-shop
awslabs/amazon-ecs-nodejs-microservices
fenixsoft/awesome-fenix
ewolff/microservice
sitewhere/sitewhere
swoft-cloud/swoft
douyu/jupiter
sqshq/piggymetrics
ramitsurana/awesome-kubernetes
freeCodeCamp/boilerplate-project-headerparser
networknt/light-4j
arun-gupta/microservices
cloudframeworks-springcloud/user-guide-springcloud
camunda/zeebe
OmarElgabry/microservices-spring-boot
geoand/spring-cloud-microservice-example
vietnam-devs/coolstore-microservices
joebew42/study-path
solo-io/gloo
anilallewar/microservices-basics-spring-boot
alibaba/Sentinel
stacksimplify/aws-fargate-ecs-masterclass
ewolff/microservice-kafka
mhadidg/software-architecture-books
binhnguyennus/awesome-scalability
mehmetozkaya/Design-Microservices-Architecture-with-Patterns-Principles
ashishps1/awesome-system-design-resources
ByteByteGoHq/system-design-101
Elfocrash/.NET-Backend-Developer-Roadmap
in28minutes/learn
microservices-demo/catalogue
springframeworkguru/spring5webapp
istio/proxy
freeCodeCamp/boilerplate-project-exercisetracker
mspnp/microservices-reference-implementation
spring-cloud/spring-cloud-stream
senecajs/seneca
vaquarkhan/microservices-recipes-a-free-gitbook
davidetaibi/Microservices_Project_List
freeCodeCamp/boilerplate-project-filemetadata
apache/skywalking
callistaenterprise/blog-microservices
PacktPublishing/Hands-On-Microservices-with-Spring-Boot-and-Spring-Cloud
sczyh30/vertx-blueprint-microservice
eventuate-tram/eventuate-tram-sagas
Staffjoy/v2
springframeworkguru/mssc-brewery
unlight/solution-architecture
SaiUpadhyayula/spring-boot-microservices
VirtoCommerce/vc-platform
AxonFramework/AxonFramework
aol/micro-server
shulieTech/Takin
udacity/DevOps_Microservices
mohnkhan/Free-OReilly-Books
IBM/cloud-native-starter
carnellj/spmia_overview
mudigal-technologies/microservices-sample
WolfgangOfner/MicroserviceDemo
oktadev/java-microservices-examples
in28minutes/kubernetes-crash-course
in28minutes/docker-crash-course
mehdihadeli/awesome-software-architecture
aws/aws-app-mesh-examples
anaibol/awesome-serverless
freeCodeCamp/boilerplate-project-urlshortener
nicholasjackson/building-microservices-youtube
raycad/go-microservices
microservices-demo/carts
shabbirdwd53/Springboot-Microservice
aws-samples/aws-serverless-ecommerce-platform
juicycleff/ultimate-backend
eventuate-tram/eventuate-tram-core
vulcand/vulcand
kaaproject/kaa
in28minutes/deploy-spring-microservices-to-aws-ecs-fargate
thangchung/go-coffeeshop
benwilcock/cqrs-microservice-sampler
wso2/msf4j
eazybytes/microservices-with-spring-sectionwise-code
berndruecker/flowing-retail
iron-io/functions
alibaba/sentinel-golang
stefanprodan/podinfo
delimitrou/DeathStarBench
dev-mastery/comments-api
jbossdemocentral/coolstore-microservice
piomin/sample-spring-microservices-kubernetes
erda-project/erda
ssola/python-flask-microservice
amigoscode/microservices
PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-2E
alibaba/nacos
DocsHome/microservices
kuchin/awesome-cto
freeCodeCamp/boilerplate-mongomongoose
wanghaisheng/awesome-microservice
naturalprogrammer/spring-lemon
cncamp/101
solo-io/squash
learning-zone/spring-boot-basics
Azure-Samples/container-apps-store-api-microservice
SteeltoeOSS/Samples
asc-lab/dotnetcore-microservices-poc
spotify/apollo
apache/servicecomb-service-center
jina-ai/dev-gpt
open-hand/choerodon
devmentors/Pacco
microservices-demo/payment
microsoft/azure-spring-apps-training
notadd/notadd
gigya/microdot
mmorejon/microservices-docker-go-mongodb
in28minutes/in28minutes-initiatives
nathanpeck/awesome-ecs
RocketChat/Rocket.Chat
danielliao11/spring-microservice-boilerplate
madd86/awesome-system-design
cloudwego/kitex
redhat-helloworld-msa/helloworld-msa
abixen/abixen-platform
umermansoor/microservices
brikis98/infrastructure-as-code-talk
ewolff/microservice-kubernetes
dapr/dapr
sidd-harth/kubernetes-devops-security
aws-samples/aws-workshop-for-kubernetes
cescoffier/vertx-microservices-workshop
K8sAcademy/Fundamentals-HandsOn
udacity/cd0354-monolith-to-microservices-exercises
binarythistle/S04E03---.NET-Microservices-Course-
single-spa/single-spa
Denrox/nestjs-microservices-example
Azure-Samples/Serverless-microservices-reference-architecture
PacktPublishing/Spring-Microservices
pywren/pywren
sarat9/microservices-architect-config-starter
EdwinVW/pitstop
eventuate-tram/eventuate-tram-examples-customers-and-orders
mohamed-taman/Springy-Store-Microservices
spring-cloud-samples/customers-stores
codergogoi/Grocery_Online_Shopping_App
krish/microservices-course-on-youtube
springframeworkguru/ssc-brewery
aspnetrun/run-devops
jidibinlin/Free-DevOps-Books-1
spring-cloud/spring-cloud-task
apollographql/federation-demo
mingrammer/go-web-framework-stars
quarkusio/quarkus
derekoneil/twitter-feed-oke
caelum/apostila-microservices-com-spring-cloud
rajasegar/awesome-micro-frontends
lelylan/lelylan
grpc-up-and-running/samples
venkataravuri/e-commerce-microservices-sample
googlecodelabs/monolith-to-microservices
spinnaker/spinnaker
IBM/spring-boot-microservices-on-kubernetes
springframeworkguru/spring5-jokes-app-v2
asc-lab/micronaut-microservices-poc
pavansolapure/opencodez-samples
microservices-security-in-action/samples
krakend/krakend-ce
benjsicam/nestjs-rest-microservices
shovanch/fullstack-web-developer-path
arachnys/athenapdf
Thaiane/Thaiane
inadarei/nodebootstrap
aws-samples/ecs-refarch-cloudformation
aws-samples/amazon-ecs-java-microservices
atomikos/transactions-essentials
securesocketfunneling/ssf
JavatoDev-com/internet-banking-concept-microservices
in28minutes/spring-microservices-v3
SaiUpadhyayula/springboot-microservices-project
madslundt/NetCoreMicroservicesSample
piomin/sample-spring-microservices-advanced
udacity/ud615
microservices-demo/orders
microservices-patterns/ftgo-application
snatch-dev/Convey
keyvanakbary/learning-notes
oskardudycz/EventSourcing.NetCore
idugalic/micro-company
fChristenson/microservices-example
citahub/cita
LondheShubham153/kubestarter
open-source-labs/Chronos
ThreeDotsLabs/wild-workouts-go-ddd-example
askmeegs/learn-istio
yidongnan/spring-cloud-netflix-example
demo-apps/go-gin-app
springframeworkguru/mssc-beer-service
vladaionescu/leveros
TechPrimers/learning-path-spring-boot-microservices
andrealmar/sre-university
PacktPublishing/Hands-On-Microservices-with-Rust
in28minutes/spring-boot-react-fullstack-examples
devdcores/BookStoreApp-Distributed-Application
aws-containers/eks-app-mesh-polyglot-demo
oktadev/spring-boot-microservices-example
awsrun/aws-microservices
istio/community
envoyproxy/envoy
weaveworks/weave
aws-samples/aws-microservices-deploy-options
zhashkevych/awesome-backend
Kong/mockbin
qas/examples-nodejs-cqrs-es-swagger
zeromicro/zero-examples
appwrite/appwrite
mxssl/sre-interview-prep-guide
qas/examples-nodejs-cqrs-es-swagger
cloudwego/hertz
emissary-ingress/emissary
microservices-demo/shipping
MitocGroup/deep-framework
dashersw/cote
scalecube/scalecube-services
elgris/microservice-app-example
meysamhadeli/booking-microservices
idugalic/micro-ecommerce
shijuvar/gokit
springframeworkguru/mssc-brewery-client
kbastani/spring-cloud-microservice-example
camelinaction/camelinaction2
TechPrimers/stock-price-viewer-microservices-part1
microservices-demo/queue-master
OpenHFT/OpenHFT
PacktPublishing/Hands-On-Docker-for-Microservices-with-Python
amrkhaledccd/my-moments
aws-solutions/aws-data-lake-solution
hyperf/hyperf
piomin/sample-spring-oauth2-microservices
apache/dubbo
fullstackhero/dotnet-microservices-boilerplate
openfaas/faas
rahulsahay19/eShopping
in28minutes/spring-web-services
meshery/meshery
stackvana/hook.io
SqueezerIO/squeezer
nameko/nameko-examples
codergogoi/nodejs_microservice
apssouza22/java-microservice
codefarm0/Microservices-Architecture
fehmicansaglam/progressed.io
weaveworks/scope
cashapp/misk
springframeworkguru/mssc-beer-order-service
PacktPublishing/Hands-on-Microservices-with-Python
ewolff/microservice-istio
eazybytes/microservices-with-spring
podtato-head/podtato-head
go-kratos/beer-shop
WasmEdge/WasmEdge
devops-dojo/the-app
EwanValentine/shippy
Azure-Samples/Serverless-Eventing-Platform-for-Microservices
aspnetrun/run-aspnet-identityserver4
Particular/NServiceBus
stelligent/mu
NHadi/Pos
vmware-archive/spring-boot-cities
aws-solutions/aws-waf-security-automations
DickChesterwood/k8s-fleetman
yasir2000/awesome-software-architecture
ihuaylupo/manning-smia
cattles/spring-cloud-event-sourcing-example
danielbryantuk/oreilly-docker-java-shopping
fleetman-ci-cd-demo/fleetman-position-simulator
dfinity/examples
dicodingacademy/a433-microservices
IBM/microservices-traffic-management-using-istio
jfeng45/servicetmpl
spring-petclinic/spring-petclinic-microservices-config
dotnet-architecture/eShopOnAzure
springframeworkguru/mssc-beer-inventory-service
carnellj/spmia-chapter1
ErnestOrt/Trampoline
johnph/simple-transaction
ibm-cloud-architecture/refarch-cloudnative-kubernetes
aliyun/alibabacloud-microservice-demo
RainbowForest/e-commerce-microservices
alibaba/clusterdata
horsdal/microservices-in-dotnetcore
zalando/tailor
swimlane/node-microservice-demo
jgrandja/oauth2-protocol-patterns
danielfsousa/express-rest-boilerplate
eventuate-examples/es-kanban-board
AlicanAkkus/Modular-Architecture-Hexagonal-Demo-Project
DanWahlin/Angular-Docker-Microservices
PoweredLocal/vrata
gudaoxuri/dew
meteorhacks/cluster
googlecodelabs/orchestrate-with-kubernetes
IBM/innovate-digital-bank
chayxana/Restaurant-App
