aidanwhiteley/books
akretion/boleto_cnab_api
alanjeffares/notebook-to-microservice
alexliesenfeld/health
alibghz/nestjs-microservices-docker
alice-si/etheroscope
aliyun/alibabacloud-microservice-demo
apache/juneau
apache/servicecomb-kie
armadaplatform/armada
kriswep/graphql-microservices
KTH/royal-chaos
kubeflow/code-intelligence
kubeflow/example-seldon
laoshanxi/app-mesh
learningOrchestra/learningOrchestra
legumeinfo/gcv
lineageos4microg/docker-lineage-cicd
loft-sh/devspace
madeiramadeirabr/nest-service-template
MesutAtasoy/Joker
metrue/fx
meysamhadeli/University-Microservices
microservices-demo/microservices-demo
MongkonEiadon/VehicleTracker
aspnetrun/run-aspnetcore-microservices
aspnetrun/run-devops
aws-containers/eks-app-mesh-polyglot-demo
Azure-Samples/container-apps-store-api-microservice
BallAerospace/COSMOS
batazor/shortlink
benc-uk/rayscale
burningmyself/microservice
CDLUC3/merritt-docker
chaostoolkit/chaostoolkit-samples
chayxana/Restaurant-App
chesterheng/microservices-node-react
chrisns/docker-node-sonos-http-api
cleisommais/journey_full_microservices
Clivern/Scalability
CodelyTV/php-ddd-example
codingforentrepreneurs/OpenCV-REST-API
cyber-dojo/web
Daggy1234/dagpi-image
danionescu0/docker-flask-mongodb-example
datorama/Timbermill
delimitrou/DeathStarBench
DenisBiondic/RealTimeMicroservices
devopsfaith/krakend-ce
djmaze/apprise-microservice
dollarshaveclub/furan
dotnet-architecture/eShopOnContainers
dtelaroli/devops-test
EdwinVW/pitstop
eko/monday
emissary-ingress/emissary
erda-project/erda
ewolff/microservice-istio
exaco/laravel-octane-dockerfile
EYBlockchain/nightfall
FabrizioCafolla/lumen-microservice
febsteam/FEBS-Cloud
feiskyer/kubernetes-handbook
flyimg/flyimg
FraunhoferISST/diva
gbrayhan/microservices-go
geoserver/geoserver-cloud
h2non/imaginary
hellofresh/health-go
herodotus-cloud/eurynome-cloud
hyperledger-labs/blockchain-carbon-accounting
hyperscale/hyperpic
imgproxy/imgproxy
ivanpaulovich/clean-architecture-manga
jainishshah17/tugger
jbw/TooBigToFailBurgerShop
jhipster/generator-jhipster
kalaspuff/tomodachi
kanisterio/kanister
kintohub/kintohub-docs
ashleydavis/nodejs-microservices-example
CiscoTestAutomation/xpresso
ebosas/microservices
giper45/DockerSecurityPlayground
Kong/kong
MozillaSecurity/orion
PacktPublishing/Hands-On-Microservices-with-Rust
shuigedeng/taotao-cloud-project
tes/bosco
Nathan13888/VisitorBadgeReloaded
nelsonwenner/ecommerce
NeoResearch/neocompiler-eco
networknt/light-4j
networknt/light-example-4j
networknt/light-oauth2
nightingaleproject/nightingale
open-amt-cloud-toolkit/open-amt-cloud-toolkit
open-horizon/examples
OpenCodeFoundation/eSchool
OpenLiberty/guide-getting-started
otasoft/microservice-template
pace/bricks
piomin/sample-spring-microservices-kubernetes
pvarentsov/virus-scanner
python-microservices/pyms
qlik-oss/mira
ramazansakin/NodeJs-App-Microservices
ranna-go/ranna
rclement/mailer
reckonsys/bigga
reportportal/reportportal
rodrigorodrigues/microservices-design-patterns
SeldonIO/seldon-core
Seneca-CDOT/telescope
shibuiwilliam/ml-system-in-actions
simonmittag/j8a
simple-phil/ketchup
SoftInstigate/restheart
sourcefuse/loopback4-microservice-catalog
spring-petclinic/spring-petclinic-cloud
spring-petclinic/spring-petclinic-microservices
sqshq/piggymetrics
SuperMap/GAF
swagger-api/swagger-codegen
syhpoon/xenvman
TaitoUnited/full-stack-template
takama/caldera
tanerdiler/spring-boot-microservice-eureka-zuul-docker-gateway-kubernetes
TianLiangZhou/loocode-example
topcoder-platform/challenge-api
topcoder-platform/tc-project-service
traefik/traefik
ttulka/ddd-example-ecommerce
uid4oe/microservices-go-grpc
vmudigal/microservices-sample
vukmanovicmilos/web-app
WilliamXu96/ABP
