eosphoros-ai/DB-GPT
cardosop/Software-Design-and-Architecture
CanopyTax/sofe
yuchiu/Netflix-Clone
swinedge/eua-dataset
opentaps/opentaps_seas
PacktPublishing/Java-Deep-Learning-Essentials
benjaminvella/eiin839
toutiaoio/awesome-architecture
Meituan-Dianping/Leaf
mwsobol/SORCER
mwsobol/SORCER-multiFi
tcalmant/ipopo
Yelp/service-principles
apluslms/a-plus
Warewolf-ESB/Warewolf
libcsp/libcsp
hanjg/taotao
datacratic/soa
curtiszimmerman/AlgoTrader
yawlfoundation/yawl
odooku/odooku
namshi/coding-challenges
P-P-X/awesome-collector
ldynia/archcolider
PacktPublishing/Software-Architecture-with-Cpp
jolie/jolie
TalasZh/opencbs
rushmore/zbus-server
CppMicroServices/CppMicroServices
yourkarma/faraday-conductivity
pchelnikov/PluggableAppDelegate
bishwa-poudel/Software-Design-and-Architecture-Specialization-Coursera
jackie-do/ruby_and_rails_knowledge
Developer-Y/all-things-java
atrocore/atrodam
halyph/architecture-case-study
davidhwang/horseman
zeromq/majordomo
mroth/emojitracker
atrocore/atropim
ISS-SOA/class-SOA-repo
micro-toolkit/zmq-service-suite-broker-js
eclipse-arrowhead/core-java-spring
Dexels/navajo
anabeto93/Micro-Services-with-Lumen
koderover/zadig
rundeckpro/training-service-oriented
faxad/cartify
rafaels88/software-development-resources
SeaQL/sea-orm
acmbpdc/openlib.cs
fergunet/osgiliath
nakozak/HW3fall16
oiraqi/paradigms
ProboCI/probo
NSProgrammer/ZipUtilities
jacobklinker/hw3fall15
Everteam-Software/tempo
luebken/container-patterns
commontk/CTK
damian-burke/android-dynamic-feature
dreamhomes/RCAPapers
rd2coding/Awesome-Tech-Words
ashish-3916/academic_nsut
micro-toolkit/zmq-service-suite-ruby
onmyway133/awesome-ios-architecture
TelerikAcademy/Web-Services-and-Cloud
atperry7/soa-assignments
daileyet/someip_guide
PacktPublishing/Enterprise-Application-Architecture-with-NET-Core
rbruflodt/hw3fall17
PacktPublishing/Software-Architecture-with-C-9-and-.NET-5
awslabs/ecs-refarch-service-discovery
wenjinlonggithub/ArchitectGuide
manjunath5496/Ruby-Programming-Books
mosser/microservices
germansua/UJaveriana-AES-ModVal
uvdesk/community-skeleton
gluster/gcs
PacktPublishing/Practical-Microservices-with-Dapr-and-.NET
mehdihadeli/awesome-software-architecture
Qmino/Santorini
mkovacina/jcu-2019-cs480b
tdouce/remote_factory_girl_home_rails
up1/course_microservice_kmitl_2019
purshink/ReactJS-Spring-Boot-Full-Stack-App
onlurking/the-software-architecture-chronicles
IHE/sdpi-fhir
treolabs/treopim
skyming/Trip-to-iOS-Design-Patterns
phptodayorg/php-must-watch
tdouce/remote_factory_girl
floriankrueger/SOXAppDelegate
kyleterry/tenyks
zihaowangusa/news-recommendation-system
laikkk/www-bigdata
s7techlab/cckit
tdouce/remote_database_cleaner_home_rails
turingschool-examples/rails_engine_fe_7
Polyconseil/django-cid
lucidarch/lucid
bripkens/proxrox
RetailMeNot/shield
marinasundstrom/eShop
yuchiu/today-news
